id_producto,sku,marca,nombre,categoria,genero,descripcion,precio,precio_anterior,talla,color,color_hex,stock,imagen_principal,imagen_secundaria,imagenes,destacado,proximamente,activo
ua-1,UA-1-S,Under Armour,Playera HeatGear Manga Corta,playeras,hombre,Playera de entrenamiento en tela HeatGear que absorbe la humedad y se seca rápido. Corte regular.,899,999,S,Negro,#111111,10,/products/under-armour/ua-1-1.svg,/products/under-armour/ua-1-2.svg,,true,false,true
ua-1,UA-1-M,Under Armour,Playera HeatGear Manga Corta,playeras,hombre,Playera de entrenamiento en tela HeatGear que absorbe la humedad y se seca rápido. Corte regular.,899,999,M,Negro,#111111,14,/products/under-armour/ua-1-1.svg,/products/under-armour/ua-1-2.svg,,true,false,true
ua-1,UA-1-L,Under Armour,Playera HeatGear Manga Corta,playeras,hombre,Playera de entrenamiento en tela HeatGear que absorbe la humedad y se seca rápido. Corte regular.,899,999,L,Negro,#111111,12,/products/under-armour/ua-1-1.svg,/products/under-armour/ua-1-2.svg,,true,false,true
ua-1,UA-1-XL,Under Armour,Playera HeatGear Manga Corta,playeras,hombre,Playera de entrenamiento en tela HeatGear que absorbe la humedad y se seca rápido. Corte regular.,899,999,XL,Negro,#111111,6,/products/under-armour/ua-1-1.svg,/products/under-armour/ua-1-2.svg,,true,false,true
ua-2,UA-2-S,Under Armour,Playera Tech 2.0,playeras,hombre,"Playera ligera de secado rápido, ideal para entrenar o uso diario. Tela suave y transpirable.",749,,S,Gris Jaspe,#8a8a8a,8,/products/under-armour/ua-2-1.svg,/products/under-armour/ua-2-2.svg,,false,false,true
ua-2,UA-2-M,Under Armour,Playera Tech 2.0,playeras,hombre,"Playera ligera de secado rápido, ideal para entrenar o uso diario. Tela suave y transpirable.",749,,M,Gris Jaspe,#8a8a8a,10,/products/under-armour/ua-2-1.svg,/products/under-armour/ua-2-2.svg,,false,false,true
ua-2,UA-2-L,Under Armour,Playera Tech 2.0,playeras,hombre,"Playera ligera de secado rápido, ideal para entrenar o uso diario. Tela suave y transpirable.",749,,L,Gris Jaspe,#8a8a8a,9,/products/under-armour/ua-2-1.svg,/products/under-armour/ua-2-2.svg,,false,false,true
ua-2,UA-2-XL,Under Armour,Playera Tech 2.0,playeras,hombre,"Playera ligera de secado rápido, ideal para entrenar o uso diario. Tela suave y transpirable.",749,,XL,Gris Jaspe,#8a8a8a,0,/products/under-armour/ua-2-1.svg,/products/under-armour/ua-2-2.svg,,false,false,true
ua-3,UA-3-S,Under Armour,Short Raid 2.0,shorts,hombre,Short de entrenamiento con tela ligera y bolsillos laterales. Libertad de movimiento total.,649,,S,Negro,#111111,9,/products/under-armour/ua-3-1.svg,/products/under-armour/ua-3-2.svg,,true,false,true
ua-3,UA-3-M,Under Armour,Short Raid 2.0,shorts,hombre,Short de entrenamiento con tela ligera y bolsillos laterales. Libertad de movimiento total.,649,,M,Negro,#111111,12,/products/under-armour/ua-3-1.svg,/products/under-armour/ua-3-2.svg,,true,false,true
